url,number,name_hebrew,name_english,name_latin,image,text_hebrew,subspecies_distribution,description,habitat,feeding,breeding,movements,status,israel,stamp1,stamp2,stamp3,stamp4
bc4.html,378,,Alpine Accentor,Prunella collaris,bc4p1.jpg,":סתרי צוקים. הגדול בכ 25% מבין הסתריים . דומה לסתרי מצוי, אך גדול וצבעוני ממנו. גרונו הלבן מנוקד בנקודות שחורות וצפופות, ולצידי גופו פספוס ערמוני הבולט למרחוק. בזמן מעופו בולטים פסי הכנף הלבנים וקצה זנבו הבהיר, בית גידולו משתרע על פני הרים גבוהים, מהרי הפירנאים, האלפים והאטלס בדרום. דרך הרי הטרוס ועד להימליה בדרום מזרח. מקום חיותו מדרונות סלעים וטרשים מעוטי צמחיה. בארץ מבקר חורף לא מצוי בהרים שבצפון הארץ",,,,,,,,,bc4p2.jpg,bc4p3.jpg,a0.jpg,a0.jpg
bc3.html,377,,Black-throated Accentor,Prunella atrogularis,bc3p1.jpg,":סתרי שחור-גרון. דומה לסתרי ממושקף אר קטן ממנו, גרונו שחור ופס עינו חום צהבהב. גחונו בצבע חום כעין הקינמון. לאחר תקופת הקינון הצבע השחור דוהה במקצת. בית גידולו משתרע מצפון הרי אורל ועד טורקסטן. מקום חיותו יערות מחטניים. בארץ עובר אורח אקראי נדיר ביותר.",,,,,,,,,a0.jpg,a0.jpg,a0.jpg,a0.jpg
bc1.html,375,,Hedge Accentor,Prunella modularis,bc1p1.jpg,":סתרי מצוי. דומה לדרור הבית אלא שראשו ועורפו אפורים שאר גופו חום. מקורו עדין, כיפת ראשו מקומרת למדי. עורפו, צוארו וזנבו צרים. באופן קבוע נראה מרעיד את כנפיו בעצבנות ומתפלש בחול. בית גידולו משתרע על רוב יבשת אירופה מלבד הצפון הרחוק ולאורך חופי ים התיכון, הסתרי חי בשדות שיחים , חורשות ויערות מחטניים ורחבי עלים כאחד. מגובה פני הים ועד למרומי ההרים. בארץ מבקר חורף ועובר אורח שכיח במרכז וצפון הארץ",,,,,,,,,bc1p2.jpg,bc1p3.jpg,a0.jpg,a0.jpg
bc2.html,376,,Radde's Accentor,Prunella ocularis,bc2p1.jpg,":סתרי ממושקף דומה לסתרי שחור-גרון, שונה ממנו בגרונו הבהיר, ראשו השחום. ""כתמיו הכהים יותר. גבת עינו הבולטת בלובנה מקנה לו את שמו ""ממושקף בית גידולו משתרע על ההרים באזור האירנו-טורני. ממזרח טורקיה . וארמניה עד הרי הזגרוס בדרם אירן. מקום חיותו שיחי ערער על צלעות הרים גבוהים עד לרום של 3.000 מ. בארץ מבקר חורף נדיר בצפון הארץ ומרכזה",,,,,,,,,bc2p2.jpg,a0.jpg,a0.jpg,a0.jpg
c1.html,9,,Say Albatross,Diomedea cauta,c1p1.jpg,": אלבטרוס לבן-כיפה . בעל מקור גדול וכבד. עיניו שחורות ומסביבן כתם כהה. בית גידולו ימים, מקנן באיים שטוחים בעלי צמחיה דלילה. בארץ מזדמן נדיר ביותר",,,,,,,,,c1p2.jpg,c1p3.jpg,c1p4.jpg,c1p5.jpg
y2.html,363,,White-spectacle Bulbul,Pycnonotus xanthopygos,ay2p1.jpg,":בולבול צהוב-שת, ציפור שיר בינונית בגודלה המרבה להשמיע את קולה ולזמר ומכאן שמה. בולבול בערבית - זמיר. הראש והצואר שחורים, חלקי הגוף העליונים חומים אפרפרים. הגחון אפרפר בהיר וכתם צהוב בולט על השת. קשתית העין של הזכר שחורה ושל הנקבה אדומה. עיגול לבן בולט סביב העין, המקור והרגלים כחלחלים שחורים. בית גידולו משתרע מטורקיה בצפון דרך סוריה, לבנון, ישראל ועד לדרום חצי האי ערב. מקום חיותו, כל מקום שיש בו עצים, גנים ומטעים ובקרבת מגורי אדם. נמנע משטחים פתוחים, משדות וערבות עשב. בארץ מצוי שכיח ביותר בכל חלקי הארץ. הבולבול משמש כציפור הלאומית של בחריין",,,,,,,,,ay2p2.jpg,ay2p3.jpg,a0.jpg,a0.jpg
be1.html,426,,Arabian Babbler,Turdoides squamiceps,be1p1.jpg,":זנבן. נראה כפשוש גדול. צבעו חום אפרפר, הגחון בהיר יותר ראשו ועורפו מפוספסים הסנטר והגרון לבנים, החזה מפוספס, בפסים שחומים עדינים. קשתית העין של הזכר צהבהבה. של הנקבה חום כהה, המקור צהבהב-חום ונוטה כלפי מטה. הרגלים חומות ורדרדות. הזנב ארוך ומדורג בצורה בולטת בית גידולו משתרע במזרח התיכון בין עומן, צפון תימן ומשם . למדבר סיני דרך הערבה עד לצפון ים המלח. מקום חיותו סבכי שיטים, עצים ושיחים בגאיות וואדיות. בארץ יציב שכיח באזורי מגוריו, מרחבי הנגב, הערבה ושקע ים המלח Subspecies and Distribution. F. h. hypoleuca Europe, except Iberia, E to Urals. T. S. squamiceps Levant S to W-C Arabia. T. S. yemenensis Yemen, and southern Oman. T. S. mudvsyrndid northern Oman. םםםםםםםםםםםםםםםםםםםםםםםםםםםםםםםםםםם םםםםםםםםםםםםםםםםםםםםםםםםםםםםםםםםםםםםםםםםםםםםםםםםםםםם Descriptive notes. 26-29 cm, 65-82 g, wingspan 31-34 cm. Large babbler, rather cold brown but with noticeably white throat and distinct scaling over crown, hindneck, and breast. Rather long decurved bill, pale eye, long, graduated and loose tail, and strong legs and feet contribute to somewhat unattractive, scrawny, but arresting appearance.Sexes rather similar, no seasonal variation. Habitat. In , lower warm arid latitudes of south-eastern fringe of W Palearctic, not only in lowlands but locally above 2000 m. Always in bushes or on ground, roosts in thick Acacia comes to water in evening, if available. In Oman and C Arabia, occurs in desert and in wadis with Acacia bushes, but requirement for Acacia seems not always to apply outside breeding season. In Israel does not penetrate to high elevations or to more humid northern regions, but will inhabit tamarisk clumps, salty swamps with reedbeds, gardens, vineyards, and even trees, and among houses. Prefers open terrain, shunning dense vegetation. Food and Feeding. Wide variety of invertebrates, small vertebrates, plant material, and household scraps from garbage dumps. Birds usually forage in groups, on ground, bushes, and trees, variously digging in soil, turning over stones and leaves, stripping bark, pecking at and prizing open branches, seed pods, and faeces.Groups have been seen killing warblers but unable to dismember them and left them intact. Breeding. Feb-Jul, peaking May-Jun in Israel, February onwards, more often Mar in Arabia and United Arab Emirates. Nest site, typically 1-7 m above ground inside cover, fork or crown of tree or bush.Nest large, untidy, fairly deep cup of coarse grasses, rootlets, bark, twigs, and other dead plant material, with no distinction between outer structure and lining, though may be lined with a few feathers ane animal hair.3-5 eggs, sub-elliptical, smooth and glossy, uniform turquoise.Incubation 13-14 days, by the dominant laying female at night, but at other times by all males of group, especially the more dominant ones. Movements. hiefly sedentary, but perhaps locally dispersive. Levant and north Arabian race, nominate, is sedentary in Israel.T. s. yemenensis disperses in desert at end of breeding season. Status and Conservation. Not globally threatened. Israel. In Israel subspecies T. s. squamiceps Quit common resident in Dead Sea Depression, central, eastern and southern Negev, and along Arava Valley. in Israel HOME NEXT",,,,,,,,,a0.jpg,a0.jpg,a0.jpg,a0.jpg
q13.html,112,,Bateleur,Terathopius ecaudatus,q13p1.jpg,":חיוויאי מוקיון, גודלו כגודל תרנגולת, צבעיו עזים ויפים. רובו שחור מבריק. גבו ערמוני כתום, הכתפים חומים אפורים הלחיים והרגלים בצבע אדום. ניכר בנוצות צואר ארוכות וזנבו קצר. בית גידולו ערבות שיחים ועצים. מזונו מגוון החל ביונקים קטנים, עופות וזוחלים. שמו ניתן לו בשל מנהגו לבצע להטוטים אקרובטיים בשעת מעופו. בארץ מבקר נדיר באקראי ולמה נקרא שמה ראה, שרואה ביותר, עומדת בבבל ורואה בארץ ישראל ... חולין ס""ג א ...",,,,,,,,,q13p2.jpg,q13p3.jpg,q13p4.jpg,q13p5.jpg
ar2.html,315,,Blue-cheeked Bee-eater,Merops persicus,ar2p1.jpg,":שרקרק ירוק. שרקרק גדול, רזה, רובו צבוע בירוק ובעל כנפים ארוכות. לחייו ומצחו תכולים, גרונו ערמוני-כתום. תחתית כנפיו בצבע ערמוני ותחתית זנבו אפרפרה. אברות זנבו המרכזיות ארוכות. בגרונו חסר הפס השחור, בית גידולו אזורים חמים ויבשים, מדבריים ומדבריים למחצה. פתוחים עם עצים פזורים בקרבת מקוי מים. בארץ עובר אורח לא שכיח, במערב הארץ ודוגר קיץ נדיר בבקעת הירדן ובית שאן ... והא ההוא דיתיב בי כרבא ושרק ... חולין סג' ע""א",,,,,,,,,ar2p2.jpg,ar2p3.jpg,ar2p4.jpg,ar2p5.jpg
ar3.html,316,,European Bee-eater,Merops apiaster,ar3p1.jpg,":שרקרק מצוי. השכיח והססגוני מבין השרקרקים בארצנו. קולות שריקתו הקנו לו את שמו. כיפת ראשו ועורפו ערמוניים, צבע זה הולך והופך בהדרגה עם ירידתו לכיוון השת, לזהוב. כיפת ראשו ועורפו ערמוניים, המצח לבן במרכזו וטורקיז בצדדיו. פס העין שחור. המקור דק וארוך ונוטה כלפי מטה, הגרון והלחי צהובים , פס שחור דק מבדיל בין הגרון לצוואר. הגחון בצבע טורקיז, הזנב הארוך בצבע כחלחל זית ואפור מתחת. הרגל קצרה ולה שלוש אצבעות קדמיות ארוכות ודקות. הכנפים ארוכות. צבעי הנקבה דהים במקצת. בית גידולו בקעות עם נחלים, שדות חקלאיים, גבעות, ערבות וחורשים. בעיקר אזורים בהם ישנם דבורים רבות. מקנן במחילות החפורות בגדות נחלים. בארץ מבקר ודוגר קיץ שכיח, בצפון הארץ ומרכזה, ועובר אורח נפוץ למדי בכל רחבי הארץ ... והא ההוא דיתיב בי כרבא ושרק ... חולין סג, ע'א",,,,,,,,,ar3p2.jpg,ar3p3.jpg,ar3p4.jpg,ar3p5.jpg
